IRI	Label	Definition	Subclass of	Exact synonyms	Broad synonyms	Narrow synonyms	Related synonyms	Deprecated	Replaced by	Consider	Created by	Creation date
ID	LABEL	A obo:IAO_0000115	SC % SPLIT=,	A oboInOwl:hasExactSynonym SPLIT=,	A oboInOwl:hasBroadSynonym SPLIT=,	A oboInOwl:hasNarrowSynonym SPLIT=,	A oboInOwl:hasRelatedSynonym SPLIT=,	AT owl:deprecated^^xsd:boolean	AI obo:IAO_0100001 SPLIT=,	AI oboInOwl:consider SPLIT=,	AT oboInOwl:created_by^^xsd:string	AT oboInOwl:creation_date^^xsd:dateTime
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000011	American foulbrood		animal disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000012	angular leaf spot		leaf spot								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000013	anthracnose		plant disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000015	anthrax		animal disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000016	apple scab		scab								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000017	arthritis		animal disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000018	ascending pyelonephritis		animal disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000020	aspergillosis		animal disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000022	avian colibacillosis		colibacillosis								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000023	bacteremia		animal disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000024	bacterial blight		bacterial disease,blight								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000025	bacterial canker		bacterial disease,canker								alaynecuzick	2019-02-27T14:11:00Z
